,Target Tweets
23,"Eek kadar olmu ama bakkala gitmeye enip utanmadan anasn babasn gnderen genlerin Ankara dan stanbul 
"
24,"senin takipilerinin seviyesi ile onunkilerinin seviyesi hassasiyetleri farkl stat ... 
"
25,"Nefsi mdafaa yapyor diyeceksiniz belki ama size sopayla saldran bir adama silah skmak nefsi mdafaa deildir 
"
26,"Adam zaten senden daha vergi veriyor olmama ramen alamam diyor fmdnxnsndncjsz sen adam teyit etmi oluyors 
"
27,"Etrafta kii daha var adam silah kullanmadan etkisiz hale getirebilirler Ama beki bey ekip vuruyor 
"
28,"Hem sokaa kma yasa ilan etmeyin hem almak zorunda olan insanlarn fotorafn paylap iyi dei 
"
29,"erefli itibarl makam bari bizden birisi alsn ... Haydi Trkiyem 
"
30,"nan tavsiyesi vermiyor soytarlk yapyor slam anlatt eylerin hibir yeri yok Dikkat ekmek 
"
31,"Sureleri falan byle memelerimizi milletin azna sokarken okumamz gerekiyor hocam Yoksa normal kyafetiyle 
"
32,"Herkes dizi nersene film tavsiye etsene moduna girmi Biri demiyor Aga gzel bir belgesel syleyin 
"
33,"KHK ile dvizle ilgili yorum yapmay yasakladlar ... 
"
34,"bebesine A-12 diye isim koyduysa kesin vardr bir bildii put herifin ... Bundan byle ben 
"
35,"Berber ncesi son gnlerde maara adam modumla sizleri hasret muhabbetle selamlamak istiyorum 
"
36,"grseli kamu spotu olarak yaynlasalar canm halkms hemen anlar aslnda maskeyi nasl takmas gerektiini cnncnakekdakfjxjejfkc 
"
37,"Sene 2020 ... Trkiyede Dolar hakknda yorum yapmak yasakland 
"
38,"sonra gmeceiz iyi bir krekle iyi bir topraaByleydi sanki 
"
39,"Ayrca mslmanlkla kadar uraan birinin Allah dan askerlik arkada gibi bahsetmesi muazzam Dnendnsndnwndjs 
"
40,"Ankarallar balamak bitirmenin yarsdr diyerek virslerin bir ksmn pozitif dnrsen pozitif olur diye 
"
41,"Bugnk trafikten anladm kadaryla Ankara Covid bitmi 
"
42,"Sezon Bataki adam blmn 
"
43,"Netflix Kirli Para belgeselinde Malezya ile ilgili blm izleyin Ltfen izleyin beni seviyorsanz izleyin izl 
"
44,"genler ocuk taciz etmedi Kimseye Tecavz etmedi Adam ldrmedi,6 Filoya kar namaz klmad Uyuturucu 
"
45,"rgt rgt seninle niye urasn Sen kimsin gnfnsnskdkKxjdkckxk 
"
46,"Gerizekal cahil omarlar kendi bireysel karlarn memleketin karlarnn nne koyan szde milliyeti fareler 
"
47,"Ali yazar Veli bozar s*ker adam Adabazar 
"
48,"Niye kadar tatl adamlar 
"
49,"Emei geenlerden Allah raz olsun eylerine demesin ... ayaklarna 
"
50,"oynayan kazansn merminize demesin yiitlerim Televizyon kanal falan arayn ama dello yaparsanz tamam 
"
51,"ciddi bir reklam zaten sektr farkl sadece gmdkskfjfkdkgkd Premium abonelik free yaptlar covid boyu 
"
52,"Evet olu var 
"
53,"Mevzunun covid ile alakas 
"
54,"Atatrk evimin bir blm ... Yarnki Ylmaz zdil Szc deki yazsndan ... 
"
55,"Gerekten kahkahalarla glyorum anda ALAKA AMK ALAKA diye balkondan avazm kadar barasm geldi 
"
56,"Yklacak ksma Atatrk fotosu yaptrp Bunlar Atatrk fotosunun olduu duvar bile ykmaya alt diyere 
"
57,"Bir sorun yok iyiyim gayet teekkrler 
"
58,"Grup Yorum elbette konser versin elbette kendilerine yaplanlar sama anti demokratik ... Ama rica ederim 
"
59,"kadar gzel dolgu yok kanal yok ... rdke alttan yenisi gelsin mis 
"
60,"Sana gemiler olsun 
"
61,"nemli deil ama sinek mide bulandryor Bir prosedr 
"
62,"Saolun hocam 
"
63,"Gne trafik kazasyla balamak ... Very nice 
"
64,"Millet kadar skld erkek Whatsapp gruplarnda can skntsndan paylalan eyleri bir anlatsam ... kerli 
"
65,"Farkl sosyal medya hesaplarndan birka gndr eski Serdar Orta videolar salnyor ortala Gzel demek yeni albm load ... 
"
66,"Bizim irket geen sene ilk eyrekte 100 birim kazanrken sene ilk eyrekte birim kazanm.Ne kadar minno 
"
67,"Rezene alerji bastrc haplar parasetamoller tabi uyku haplar yardmc olacaktr ... Uyusanza lan 
"
68,"Mthi bir flood 
"
69,"Bununla ilgili onlarca makale var Biraz aratrrsan sen greceksin 
"
70,"Ecevit CEHAPE sinin Gnler diye seim arks hazrlamas ... ylar sonra Parti nin Ecevit ikti 
"
71,"Uyku aar akam akam 
"
72,"Ben mesela parkta otururken yle sarkl iki arkada yaklap bir eyler sylese gzel sarklarn karp bir 
"
73,"Covid sonras iin nerilerinizi alrm ... nerisi olacak psikiyatrist tabi 
"
74,"Netflix Trump belgeselini izledim Daha nce Amerikann Aaolu adam diyordum ama kalr Jet Fadl 
"
75,"Hem cahil hem salak olanlara laf anlatmak ylesine zor glmseyip sessiz kalmay tercih ederim Size tavs 
"
76,"gzel bir arkyd Daha iyi bir grsel sahne ovuyla birincilie Sertab Erenler den nce ulaabilirdi Yaz 
"
77,"Atatrk Trk Turanc olduunu nereden kardn kendisinin bugnle olan alakasn tam 
"
78,"Atatrk soslu fotolu Trklk paylamlar yapanlara duyurulur 
"
79,"Dizi film eletirmek iin ynetmen veya senarist olmamz lazmm Bir eyler retmemiz gerekmi Bunu yeni 
"
80,"Bunu syleyen futbol eletirmeni Sen futbolcular hocalar eletirdiinde biz sana Sen oynuy 
"
81,"milyon iin yanabilirim bile Hatta yanarken doururum 
"
82,"Bizde byle 
"
83,"Anladm kadaryla stanbul yamur yam abart timi stanbullular yine banda ... 
"
84,"link brakacam Osmanlda ecinsellie dair stelik birisi Murat Bardak dan Okuyalm bakalm bizim klt 
"
85,"Sanat gnein Zeki Mren Diva Blent Ersoy THY kostmlerini Cemil peki hazrlyor Sosyal medya fenomenin Murat 
"
86,"Ooowww The Last Dance adanm bir say demek Alnsn 
"
87,"AR-GE TEKNOLOJ TRK MHENDSL BYKSN TRKYEM BYK SENSN KONYA 
"
88,"Akreditasyonun ilk adm olarak sar beyaz tshirt arkadalar maskeyi burunlarn kapatacak ekilde takmak 
"
89,"niversite snav ekilmeyecek okullar Haziran aynda falan almayacak.Reyiz Bakanlk byle 
"
90,"Bir meyhane reklam ancak kadar gzel yaplabilirdi ... 
"
