,Target Tweets
66,"you 're struggle buy formal clothe 've get couple formal shirt shoe and sock decent condition 
"
67,"Dudlu baby boy nongenamali uyangena eThaveni nongena business plan uyayithola itender Akumpofu yilanga yin 
"
68,"When God show show OFF 
"
69,"really love what Art life dream get her put her signature this art piece 10k retweets 
"
70,"The author provide tip how read and understand scientific paper Not only useful guide for non-scientists 
"
71,"'re hire look for Research Laboratory Technologist join her dynamic group AHRI Hons 
"
72,"NSFAS applications be open again Monday Let the others know 
"
73,"Lauryn Hill Were just dynamic people Were all capable do many different things just tend sell ourselves 
"
74,"Vacancies again Check thread 
"
75,"Yall think Imma settle for anyone when there be men out here do copyright infringement for the people they love ... 
"
76,"Akulaleki asambeni pray for travel mercies everyone head home 
"
77,"Wenzile sisi muhle umsebenzi wakho 
"
78,"new job opportunity and get what love heal and help the needy 
"
79,"need caption for this picture stick Disrupting the status quo 
"
80,"pray you receive good news something that youve be patiently wait on.This your turn get blessed.Affirm 
"
81,"Please let your sister know that theres app that can help her deliver clients Its call the 
"
82,"TEACHING ENGLISH ONLINE earn extra income How get start THREAD 
"
83,"remember interview say make quality fashion recall memory where his grandmothers clothe outlive her 
"
84,"look for research assistant who least master last year student master graduate with economics 
"
85,"This for everyone look for employment let keep the faith ... Next week be sign our offer letter Opera 
"
86,"Something better come ... you 're allow excite 
"
87,"God about great things with your life 
"
88,"Your Congratulations come Retweet you believe 
"
89,"Please spread Encouragement Joshua 1:9Hope Isaiah 40:31Anxiety Matthew 6:25-34Love Corinthians 13:4-8 
"
90,"The caption 
"
91,"eat bettersleep longerlove moretry harderbe happier 
"
92,"when you know you know 
"
93,"friend biggest supporter 
"
94,"relationship with science sum Starting out new lab very daunt but with the help 
"
95,"2019 have be tough but 've be tougher Meandmyycultures theonlyculturesIknow 
"
96,"Were hire Please disseminate widely among your network 
"
97,"***Opportunity***Accepting applications for MSc position base the centre vaccines and Immunology NICD 
"
98,"brother have master agriculture look for job please retweet 
"
99,"Can not wait get pay fat salary every month 
"
100,"Come Lets tag all those brand and company who donate that lovely couple want free concert All pro 
"
101,"Translation way too many Black people be get doctoral degrees 
"
102,"Wamuhle uJesu when the enemy come like flood God raise the standard Thank you for raise the bar Standar 
"
103,"Whilst be here let whats happen with KFCProposal reminder all that whatever evil and mean things 
"
104,"Declare Praying PowerfulI ProsperingIm PreparingIm ProgressingIm Expecting BelievingIm Knowing 
"
105,"feel unmatched 
"
106,"Edcon recruit intern Looking for graduate with diploma and Supply Chain for month internship com 
"
107,"be delight announce applications be open for the AHRI/UCL PhD amp MSc full studentship award partnership with 
"
108,"Musa ukuqamba amanga ngomoya oyingcwele uzokushaya umawakho 
"
109,"When the time right the Lord will make come pass Mabizwaasabele 
"
110,"Ngikhumbula iNtshumayelo nendumiso ngesiZulu 
"
111,"UBER and TAXIFY TIP Always Sit the front when youre alone because the front door doesnt have child lock 
"
112,"be read Rolling Stone article about Samthing Soweto and when say For long time after leave The Soil 
"
113,".PRAY ... ... Like NehemiahOBEY ... ... Like DanielLEAD ... ... Like MosesBUILD ... ... Like NoahFIGHT ... ... 
"
114,"youre pregnant BUY THIS NOW be hit wheeler when be pregnant and end with internal bleed from 
"
115,"Well do sisi Kufeziwe 
"
116,"You can not practice Ubuntu and believe capitalism The fundamentals these concepts be complete opposites One 
"
117,"This hit home 
"
